施設,年月日,時刻,人数
金沢城公園,2025/9/5,16,15
金沢城公園,2025/9/5,17,12
金沢城公園,2025/9/5,18,5
金沢城公園,2025/9/5,19,6
金沢城公園,2025/9/5,20,4
金沢城公園,2025/9/5,21,2
金沢城公園,2025/9/5,22,1
金沢城公園,2025/9/5,23,1
金沢城公園,2025/9/6,0,0
金沢城公園,2025/9/6,1,0
金沢城公園,2025/9/6,2,0
金沢城公園,2025/9/6,3,0
金沢城公園,2025/9/6,4,1
金沢城公園,2025/9/6,5,3
金沢城公園,2025/9/6,6,4
金沢城公園,2025/9/6,7,9
金沢城公園,2025/9/6,8,13
金沢城公園,2025/9/6,9,31
金沢城公園,2025/9/6,10,32
金沢城公園,2025/9/6,11,29
金沢城公園,2025/9/6,12,27
金沢城公園,2025/9/6,13,27
金沢城公園,2025/9/6,14,25
金沢城公園,2025/9/6,15,23
金沢城公園,2025/9/6,16,17
金沢城公園,2025/9/6,17,14
金沢城公園,2025/9/6,18,9
金沢城公園,2025/9/6,19,7
金沢城公園,2025/9/6,20,5
金沢城公園,2025/9/6,21,1
金沢城公園,2025/9/6,22,1
金沢城公園,2025/9/6,23,0
金沢城公園,2025/9/7,0,0
金沢城公園,2025/9/7,1,0
金沢城公園,2025/9/7,2,0
金沢城公園,2025/9/7,3,0
金沢城公園,2025/9/7,4,1
金沢城公園,2025/9/7,5,3
金沢城公園,2025/9/7,6,4
金沢城公園,2025/9/7,7,8
金沢城公園,2025/9/7,8,14
金沢城公園,2025/9/7,9,18
金沢城公園,2025/9/7,10,21
金沢城公園,2025/9/7,11,25
金沢城公園,2025/9/7,12,28
金沢城公園,2025/9/7,13,30
金沢城公園,2025/9/7,14,27
金沢城公園,2025/9/7,15,18
金沢城公園,2025/9/7,16,13
金沢城公園,2025/9/7,17,9
金沢城公園,2025/9/7,18,5
金沢城公園,2025/9/7,19,8
金沢城公園,2025/9/7,20,2
金沢城公園,2025/9/7,21,2
金沢城公園,2025/9/7,22,1
金沢城公園,2025/9/7,23,1
金沢城公園,2025/9/8,0,0
金沢城公園,2025/9/8,1,1
金沢城公園,2025/9/8,2,0
金沢城公園,2025/9/8,3,0
金沢城公園,2025/9/8,4,1
金沢城公園,2025/9/8,5,2
金沢城公園,2025/9/8,6,1
金沢城公園,2025/9/8,7,3
金沢城公園,2025/9/8,8,11
金沢城公園,2025/9/8,9,15
金沢城公園,2025/9/8,10,18
金沢城公園,2025/9/8,11,21
金沢城公園,2025/9/8,12,18
金沢城公園,2025/9/8,13,13
金沢城公園,2025/9/8,14,14
金沢城公園,2025/9/8,15,14
金沢城公園,2025/9/8,16,9
金沢城公園,2025/9/8,17,8
金沢城公園,2025/9/8,18,7
金沢城公園,2025/9/8,19,3
金沢城公園,2025/9/8,20,2
金沢城公園,2025/9/8,21,0
金沢城公園,2025/9/8,22,1
金沢城公園,2025/9/8,23,0
金沢城公園,2025/9/9,0,0
金沢城公園,2025/9/9,1,0
金沢城公園,2025/9/9,2,0
金沢城公園,2025/9/9,3,0
金沢城公園,2025/9/9,4,2
金沢城公園,2025/9/9,5,3
金沢城公園,2025/9/9,6,6
金沢城公園,2025/9/9,7,10
金沢城公園,2025/9/9,8,13
金沢城公園,2025/9/9,9,21
金沢城公園,2025/9/9,10,27
金沢城公園,2025/9/9,11,25
金沢城公園,2025/9/9,12,27
金沢城公園,2025/9/9,13,27
金沢城公園,2025/9/9,14,19
金沢城公園,2025/9/9,15,16
金沢城公園,2025/9/9,16,0
金沢城公園,2025/9/9,17,0
金沢城公園,2025/9/9,18,0
金沢城公園,2025/9/9,19,0
金沢城公園,2025/9/9,20,0
金沢城公園,2025/9/9,21,0
金沢城公園,2025/9/9,22,0
金沢城公園,2025/9/9,23,0
ひがし茶屋街,2025/9/1,0,0
ひがし茶屋街,2025/9/1,1,0
ひがし茶屋街,2025/9/1,2,0
ひがし茶屋街,2025/9/1,3,0
ひがし茶屋街,2025/9/1,4,0
ひがし茶屋街,2025/9/1,5,0
ひがし茶屋街,2025/9/1,6,0
ひがし茶屋街,2025/9/1,7,0
ひがし茶屋街,2025/9/1,8,0
ひがし茶屋街,2025/9/1,9,0
ひがし茶屋街,2025/9/1,10,0
ひがし茶屋街,2025/9/1,11,0
ひがし茶屋街,2025/9/1,12,0
ひがし茶屋街,2025/9/1,13,0
ひがし茶屋街,2025/9/1,14,0
ひがし茶屋街,2025/9/1,15,0
ひがし茶屋街,2025/9/1,16,0
ひがし茶屋街,2025/9/1,17,0
ひがし茶屋街,2025/9/1,18,0
ひがし茶屋街,2025/9/1,19,0
ひがし茶屋街,2025/9/1,20,0
ひがし茶屋街,2025/9/1,21,0
ひがし茶屋街,2025/9/1,22,0
ひがし茶屋街,2025/9/1,23,0
ひがし茶屋街,2025/9/2,0,0
ひがし茶屋街,2025/9/2,1,0
ひがし茶屋街,2025/9/2,2,0
ひがし茶屋街,2025/9/2,3,0
ひがし茶屋街,2025/9/2,4,0
ひがし茶屋街,2025/9/2,5,0
