施設,年月日,時刻,人数
金沢城公園,2024/10/20,13,32
金沢城公園,2024/10/20,14,25
金沢城公園,2024/10/20,15,23
金沢城公園,2024/10/20,16,15
金沢城公園,2024/10/20,17,12
金沢城公園,2024/10/20,18,5
金沢城公園,2024/10/20,19,6
金沢城公園,2024/10/20,20,4
金沢城公園,2024/10/20,21,2
金沢城公園,2024/10/20,22,1
金沢城公園,2024/10/20,23,1
金沢城公園,2024/10/21,0,0
金沢城公園,2024/10/21,1,0
金沢城公園,2024/10/21,2,0
金沢城公園,2024/10/21,3,0
金沢城公園,2024/10/21,4,1
金沢城公園,2024/10/21,5,3
金沢城公園,2024/10/21,6,4
金沢城公園,2024/10/21,7,9
金沢城公園,2024/10/21,8,13
金沢城公園,2024/10/21,9,31
金沢城公園,2024/10/21,10,32
金沢城公園,2024/10/21,11,29
金沢城公園,2024/10/21,12,27
金沢城公園,2024/10/21,13,27
金沢城公園,2024/10/21,14,25
金沢城公園,2024/10/21,15,23
金沢城公園,2024/10/21,16,17
金沢城公園,2024/10/21,17,14
金沢城公園,2024/10/21,18,9
金沢城公園,2024/10/21,19,7
金沢城公園,2024/10/21,20,5
金沢城公園,2024/10/21,21,1
金沢城公園,2024/10/21,22,1
金沢城公園,2024/10/21,23,0
金沢城公園,2024/10/22,0,0
金沢城公園,2024/10/22,1,0
金沢城公園,2024/10/22,2,0
金沢城公園,2024/10/22,3,0
金沢城公園,2024/10/22,4,1
金沢城公園,2024/10/22,5,3
金沢城公園,2024/10/22,6,4
金沢城公園,2024/10/22,7,8
金沢城公園,2024/10/22,8,14
金沢城公園,2024/10/22,9,18
金沢城公園,2024/10/22,10,21
金沢城公園,2024/10/22,11,25
金沢城公園,2024/10/22,12,28
金沢城公園,2024/10/22,13,30
金沢城公園,2024/10/22,14,27
金沢城公園,2024/10/22,15,18
金沢城公園,2024/10/22,16,13
金沢城公園,2024/10/22,17,9
金沢城公園,2024/10/22,18,5
金沢城公園,2024/10/22,19,8
金沢城公園,2024/10/22,20,2
金沢城公園,2024/10/22,21,2
金沢城公園,2024/10/22,22,1
金沢城公園,2024/10/22,23,1
金沢城公園,2024/10/23,0,0
金沢城公園,2024/10/23,1,1
金沢城公園,2024/10/23,2,0
金沢城公園,2024/10/23,3,0
金沢城公園,2024/10/23,4,1
金沢城公園,2024/10/23,5,2
金沢城公園,2024/10/23,6,1
金沢城公園,2024/10/23,7,3
金沢城公園,2024/10/23,8,11
金沢城公園,2024/10/23,9,15
金沢城公園,2024/10/23,10,18
金沢城公園,2024/10/23,11,21
金沢城公園,2024/10/23,12,18
金沢城公園,2024/10/23,13,13
金沢城公園,2024/10/23,14,14
金沢城公園,2024/10/23,15,14
金沢城公園,2024/10/23,16,9
金沢城公園,2024/10/23,17,8
金沢城公園,2024/10/23,18,7
金沢城公園,2024/10/23,19,3
金沢城公園,2024/10/23,20,2
金沢城公園,2024/10/23,21,0
金沢城公園,2024/10/23,22,1
金沢城公園,2024/10/23,23,0
金沢城公園,2024/10/24,0,0
金沢城公園,2024/10/24,1,0
金沢城公園,2024/10/24,2,0
金沢城公園,2024/10/24,3,0
金沢城公園,2024/10/24,4,2
金沢城公園,2024/10/24,5,3
金沢城公園,2024/10/24,6,6
金沢城公園,2024/10/24,7,10
金沢城公園,2024/10/24,8,13
金沢城公園,2024/10/24,9,21
金沢城公園,2024/10/24,10,27
金沢城公園,2024/10/24,11,25
金沢城公園,2024/10/24,12,27
